#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                      random.bin|  2.94e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
    rgb_permutations|   5|    100000|     100|0.04678219|  PASSED  
# The file file_input_raw was rewound 638 times
      rgb_lagged_sum|   0|   1000000|     100|0.40464795|  PASSED  
# The file file_input_raw was rewound 662 times
      rgb_lagged_sum|   1|   1000000|     100|0.00000061|  FAILED  
# The file file_input_raw was rewound 699 times
      rgb_lagged_sum|   2|   1000000|     100|0.04128479|  PASSED  
# The file file_input_raw was rewound 748 times
      rgb_lagged_sum|   3|   1000000|     100|0.00598058|  PASSED  
# The file file_input_raw was rewound 809 times
      rgb_lagged_sum|   4|   1000000|     100|0.00986317|  PASSED  
# The file file_input_raw was rewound 882 times
      rgb_lagged_sum|   5|   1000000|     100|0.00006116|   WEAK  
# The file file_input_raw was rewound 967 times
      rgb_lagged_sum|   6|   1000000|     100|0.00479315|   WEAK  
# The file file_input_raw was rewound 1065 times
      rgb_lagged_sum|   7|   1000000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 1175 times
      rgb_lagged_sum|   8|   1000000|     100|0.00233345|   WEAK  
# The file file_input_raw was rewound 1297 times
      rgb_lagged_sum|   9|   1000000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 1431 times
      rgb_lagged_sum|  10|   1000000|     100|0.12522889|  PASSED  
# The file file_input_raw was rewound 1578 times
      rgb_lagged_sum|  11|   1000000|     100|0.09332640|  PASSED  
# The file file_input_raw was rewound 1736 times
      rgb_lagged_sum|  12|   1000000|     100|0.01011117|  PASSED  
# The file file_input_raw was rewound 1907 times
      rgb_lagged_sum|  13|   1000000|     100|0.00000621|   WEAK  
# The file file_input_raw was rewound 2090 times
      rgb_lagged_sum|  14|   1000000|     100|0.08985895|  PASSED  
# The file file_input_raw was rewound 2286 times
      rgb_lagged_sum|  15|   1000000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 2493 times
      rgb_lagged_sum|  16|   1000000|     100|0.12433684|  PASSED  
# The file file_input_raw was rewound 2713 times
      rgb_lagged_sum|  17|   1000000|     100|0.00291198|   WEAK  
# The file file_input_raw was rewound 2945 times
      rgb_lagged_sum|  18|   1000000|     100|0.04810825|  PASSED  
# The file file_input_raw was rewound 3189 times
      rgb_lagged_sum|  19|   1000000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 3445 times
      rgb_lagged_sum|  20|   1000000|     100|0.01739759|  PASSED  
# The file file_input_raw was rewound 3714 times
      rgb_lagged_sum|  21|   1000000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 3995 times
      rgb_lagged_sum|  22|   1000000|     100|0.12430431|  PASSED  
# The file file_input_raw was rewound 4288 times
      rgb_lagged_sum|  23|   1000000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 4593 times
      rgb_lagged_sum|  24|   1000000|     100|0.00000000|  FAILED  
# The file file_input_raw was rewound 4910 times
      rgb_lagged_sum|  25|   1000000|     100|0.00129156|   WEAK  
# The file file_input_raw was rewound 5240 times
      rgb_lagged_sum|  26|   1000000|     100|0.38772985|  PASSED  
# The file file_input_raw was rewound 5582 times
      rgb_lagged_sum|  27|   1000000|     100|0.00000002|  FAILED  
# The file file_input_raw was rewound 5936 times
      rgb_lagged_sum|  28|   1000000|     100|0.00210466|   WEAK  
# The file file_input_raw was rewound 6302 times
